,gage_name,ave_flow,baseflow,ave_flow_95_5,baseflow_95_5
0,11461000,423377.9516193188,9673.027972664642,192897.68275397917,5112.548712558836
1,11461500,748235.2542789734,348278.5481782652,593320.5648583159,368555.20569501974
2,11462000,780522.4075980838,552468.4010568996,596756.899780242,557139.8807835102
3,11462080,935002.6690869087,333913.27212981693,599525.6165323565,334457.06668576883
4,11462500,1664231.9233160906,485782.68886412506,1079018.5070650887,483012.19305469265
5,11463000,2236198.0569369067,512731.8042042622,1380518.179464178,502184.1713536248
6,11463170,105951.68608221367,6809.036752425329,45682.75075404547,4931.939856309905
7,11463200,150280.02075499977,20163.339517762703,53248.00271219087,12278.018053583344
8,11463500,1251431.9756185566,240588.423280914,453350.94203527813,237217.95458110515
9,11463682,823298.5206876583,299790.1746761713,316565.4476981708,288191.66234200745
10,11463900,75501.21031265393,2471.3935497782277,17062.983931763974,1190.7441386696175
11,11463980,272585.84174215375,379028.1741256952,242641.9735483233,358060.11816600047
12,11464000,3384856.598610154,486003.5250807848,1972562.5081704143,467055.78185718314
13,11465200,736828.5607136141,164885.65746931804,405627.91061973997,144322.607365625
14,11465240,252110.65907692307,252084.4225924731,240956.79851893094,249494.8358561151
15,11465350,208254.72956169947,209859.95310776803,166246.7894189412,197632.27103271594
16,11465390,649214.1981740615,544836.3602019969,362809.349245283,525860.0457202073
17,11467000,5416172.773971922,495463.67981459876,2947321.4108846807,464460.0499776578
18,11467200,395207.15231764264,15415.11316657369,395207.15231764264,22120.994819732543
19,11471000,460381.30291248165,391146.00863580743,468452.2118975433,402937.42780519475
