,Apples,Div_name,"Flowers, Nursery and Christmas Tree Farms",Grapes,Idle,Managed Wetland,Miscellaneous Deciduous,Miscellaneous Grain and Hay,Miscellaneous Grasses,Miscellaneous Truck Crops,Mixed Pasture,Olives,Pears,Urban,Young Perennials,iseg
Crop2014,64,Hacienda,1,5103,173,14,6,17,12,12,206,19,89,1218,21,457
Crop2014,,SCWA Diversion,1,4762,170,,2,17,12,12,206,18,89,959,21,456
Crop2014,,Dry Creek Mouth,,831,3,,,,,1,,14,,86,,455
Crop2014,,Healdsburg,1,3426,163,,2,17,12,10,206,4,89,849,21,454
Crop2014,,Cloverdale,1,1422,96,,1,15,12,2,191,1,87,647,21,453
Crop2014,,Hopland,1,1008,53,,1,15,11,2,179,,75,624,20,452
Crop2014,,Ukiah,,551,33,,1,15,11,,175,,21,333,20,451
Crop2014,,Lake Mendocino,,201,18,,1,15,12,,157,,14,,18,446
Crop2014,,Calpella,,193,13,,1,15,10,,157,,14,,8,450
Crop2014,64,Outlet,1,5163,174,14,6,17,12,12,206,19,89,1322,21,434
