,NAME,UTM_X,UTM_Y,ZONE_VALUE
0,11461000,483160.739483,4338484.03208,3
1,11461500,488758.02924,4344145.83922,4
2,11462000,483808.851413,4338698.43439,5
3,11462080,484173.723808,4329326.79285,6
4,11462500,488698.910883,4319732.43767,7
5,11463000,495349.734223,4303389.14989,8
6,11463170,517151.091329,4294344.18942,9
7,11463200,500265.253879,4297469.76228,10
8,11463500,509056.673709,4284899.06978,11
9,11463682,514840.087363,4278866.29372,12
10,11463900,520549.038581,4276967.83249,13
11,11463980,512572.598374,4276057.52624,14
12,11464000,514244.797475,4273871.87891,15
13,11465200,503647.549597,4283322.83534,16
14,11465240,506332.871107,4278300.30512,17
15,11465350,511999.949188,4271001.69938,18
16,11465390,511793.972198,4263049.16741,19
17,11467000,506297.237876,4262241.66407,29
18,11467002,500145.403745,4261222.1442,30
19,11467200,493920.776995,4262025.82394,31
20,,0.0,0.0,33
